Date,Time,Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Uncore VID [V],SA VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [?],Core 0 [?],Core 1 [?],Core 2 [?],Core 3 [?],Core Distance to TjMAX (avg) [?],Core 0 Distance to TjMAX [?],Core 1 Distance to TjMAX [?],Core 2 Distance to TjMAX [?],Core 3 Distance to TjMAX [?],CPU Package [?],Core Max [?],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [?],CPU IA Cores [?],CPU GT Cores (Graphics) [?],iGPU VID [V],VR VCC Current (SVID IOUT) [A],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total System Power [W],System Agent Power [W],Rest-of-Chip Power [W],PCH Power [W],PL1 Power Limit (Static) [W],PL1 Power Limit (Dynamic) [W],PL2 Power Limit (Static) [W],PL2 Power Limit (Dynamic) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Current cTDP Level [],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",Drive Temperature [?],Drive Remaining Life [%],Drive Available Spare [%],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Charge Rate [W],Wear Level [%],Estimated Remaining Time [mins],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s]
9.7.2024,09:35.8,53.9,5099,2814,64.4,0.83,0.837,0.827,0.835,0.82,0.763,0.731,2909.1,2932.8,2932.8,2932.8,2838.2,94.6,2743.6,985.5,636,724.3,2034.1,595.2,717.8,785.5,1386.7,1004.3,985.5,33.9,23.4,25.5,68.2,21.2,26,27,46.3,34,68.2,33.9,100,71.3,47,52.7,145.9,43.3,52.3,57.1,99.9,72.3,71.3,30.8,31,31,31,30,29,78,71,85,72,83,22,29,15,28,17,84,85,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,83,83,70,0.715,8.203,15.13,10.571,0.089,20.361,2.139,0.708,1.011,51,15,51,51,500,2.4,0,0,0,0,0,481,2,0,33.9,23.5,25.1,68.5,21.4,25.6,27.1,46.3,34,34.2,50.7,15.2,47.1,23.7,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,51,93,100,No,No,31116,72449,0,0.3,0.3,0.018,0.535,160646,69790,13.599,5.28,15.6,-22.38,36.3,14.2,10.7,10,93.25,0.86,817,100,0.28,0
9.7.2024,09:37.8,54,5100,2814,64.4,0.831,0.837,0.842,0.847,0.795,0.763,0.733,2909.1,2932.8,3027.4,3027.4,2649,94.6,2743.6,1001.9,720,421.3,1163.5,1798.6,1004,1020,1469.5,418.3,1001.9,34.1,25.7,15.1,39.9,60,34.7,33.6,49,14.9,60,34.1,100,72.3,52.8,30.9,83.5,128.8,72.5,73.4,106,30.6,72.3,30.8,31,32,32,28,29,78,75,83,81,74,22,25,17,19,26,82,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,81,81,70,0.715,7.031,15.126,10.734,0.051,20.363,2.148,0.716,0.872,51,15,51,51,500,1.5,0,0,0,0,0,481,2,0,34.2,25.8,15.3,39.5,60,34.9,33.7,49.2,15,31.3,62.4,1.2,32.8,28.9,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,51,93,100,No,No,31116,72449,0,0.9,0.9,0,1.072,160646,69792,13.605,5.235,15.5,-22.14,36.3,14.2,13.1,13.2,76.57,0.99,817,100,0.136,0
9.7.2024,09:39.9,53.9,5095,2819,64.3,0.812,0.877,0.785,0.795,0.792,0.806,0.733,2790.9,3216.6,2649,2649,2649,94.6,3027.4,976.7,1090.9,370.4,1769.8,1084.4,851.4,549.6,1518.8,578.2,976.7,32.8,36.7,13.2,57.6,36.6,29.1,19.2,50.2,19.7,57.6,32.8,100,70.6,79.4,27,127.2,77.8,62,40,109.5,41.7,70.6,29.5,34,28,28,28,32,77,71,81,73,82,23,29,19,27,18,83,82,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,81,81,71,0.715,8.789,14.739,10.215,0.059,20.444,2.148,0.721,0.973,51,15,51,51,500,2.3,0,0,0,0,0,482,2,0,32.8,36.8,13.5,57.6,36.3,29.2,18.8,50.2,20,37.9,49.1,16.6,52.5,33.3,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,51,93,100,No,No,31116,72449,0,0.1,0.1,0,0.499,160646,69793,13.598,5.205,15.4,-22.11,36.3,14.1,17,16.5,58.94,0.84,817,100,0.02,0
9.7.2024,09:41.8,54,5097,2817,64.4,0.847,0.852,0.842,0.85,0.845,0.771,0.733,3027.4,3027.4,3027.4,3027.4,3027.4,94.6,2838.2,1023,1084.3,744.7,1754.6,721.7,1110.6,668,1163.9,936.4,1023,34.9,37.6,25.4,58,25.2,37.5,23.7,39.6,32.2,58,34.9,100,74,79,54.1,125.9,52.3,80.2,48.4,83.8,67.8,74,32,32,32,32,32,30,78,69,83,72,86,22,31,17,28,14,86,86,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,83,83,70,0.715,7.324,14.379,9.968,0.029,20.513,2.148,0.71,0.897,51,15,51,51,500,1,0,0,0,0,0,482,2,0,34.8,37.5,25.2,58.1,24.9,37.6,23.6,39.7,32,30.6,36.6,17.1,36.6,32.2,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,51,93,100,No,No,31116,72449,0,1.3,1.3,0,0.289,160646,69794,13.584,5.175,15.3,-22.575,36.3,13.8,21.8,20.4,45.86,0.68,817,100,0.03,0
9.7.2024,09:43.8,53.9,5095,2819,64.3,0.861,0.877,0.872,0.875,0.82,0.806,0.733,3122,3216.6,3216.6,3216.6,2838.2,94.6,3027.4,941.4,503.1,233.3,1079.1,1529,1615.6,699.2,669.8,1202.4,941.4,30.8,17.2,8.5,34.4,49.7,52.1,22.4,22.1,39.5,52.1,30.8,100,67.9,37.2,17.4,77.6,109.6,115.8,50.4,48.5,86.6,67.9,33,34,34,34,30,32,78,75,74,81,83,22,25,26,19,17,83,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,80,80,70,0.715,7.031,14.931,10.526,0.013,20.433,2.106,0.644,0.963,51,15,51,51,500,0.4,0,0,0,0,0,482,2,0,30.8,17.2,8.4,34.3,49.7,52.1,22.9,22.7,39.3,39.8,71.6,22.2,26.2,39.1,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,0.1,0.1,0,0.465,160646,69794,13.592,5.13,15.2,-22.29,36.3,13.8,14.7,14.9,67.87,0.7,817,100,2.723,0
9.7.2024,09:45.8,53.8,5088,2826,64.2,0.782,0.795,0.772,0.78,0.782,0.738,0.733,2578,2649,2554.4,2554.4,2554.4,94.6,2459.8,928.4,372.6,303.8,1053.9,1649.9,786.6,274.5,679.2,2306.6,928.4,29.2,12.4,9.4,33,52,24.9,9.3,20.8,72,72,29.2,100,66.9,27.8,22.3,75.7,118.1,57,20.2,48.9,165.1,66.9,27.2,28,27,27,27,26,77,77,77,79,74,23,23,23,21,26,79,79,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,79,79,70,0.715,9.375,15.732,11.419,0.006,20.394,2.096,0.614,0.904,51,15,51,51,500,0.5,0,0,0,0,0,482,2,0,29.6,13,10,33.4,52.7,25.9,9.1,20.6,72.1,43.7,73.6,21.1,61.2,18.8,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,0.1,0.1,0,0.312,160646,69795,13.566,5.1,15.1,-22.185,36.3,13.8,11.7,11,85.66,0.65,817,100,2.983,0.035
9.7.2024,09:47.8,53.8,5090,2824,64.3,0.8,0.825,0.815,0.78,0.78,0.756,0.733,2696.3,2838.2,2838.2,2554.4,2554.4,94.6,2649,914.4,878.7,411.2,753.5,233.9,1390.9,1107.6,1005.5,1534.1,914.4,29.1,28.6,13.1,24,8.5,44.1,35.6,31.1,48.3,48.3,29.1,100,65.9,63.8,29.9,54.6,17.3,99.7,79.4,72.4,110,65.9,28.5,30,30,27,27,28,79,76,82,83,74,21,24,18,17,26,83,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,82,82,70,0.715,9.668,14.746,10.444,0.012,20.368,2.051,0.602,0.878,51,15,51,51,500,0.5,0,0,0,0,0,482,2,0,29,28.4,12.9,24.4,7.5,43.9,35.9,30.8,48.1,42.9,56.9,68.1,17.8,28.9,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,0.1,0.1,0,0.161,160646,69795,13.565,5.07,15,-22.23,36.3,13.7,9.6,9.2,103.74,0.62,817,100,0.049,0.026
9.7.2024,09:49.8,53.8,5090,2824,64.3,0.844,0.877,0.83,0.835,0.835,0.808,0.733,3003.8,3216.6,2932.8,2932.8,2932.8,94.6,3027.4,943.6,848.5,527.6,1064,568.4,1057.4,427,1220.5,1835,943.6,30,27.7,16.9,34.9,18.1,34.4,13.9,37.4,57.1,57.1,30,100,68,61.7,38.2,76.7,41.1,76.2,31,87.6,131.5,68,31.8,34,31,31,31,32,78,75,83,81,75,22,25,17,19,25,83,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,81,81,70,0.715,8.203,14.762,10.421,0.017,20.376,2.079,0.616,0.885,51,15,51,51,500,0.5,0,0,0,0,0,461,2,0,30.1,27.9,17.1,34.6,18.3,34.6,13.4,37.5,57.1,43,50.9,47.1,54.6,19.1,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,51,93,100,No,No,31116,72449,0,0.1,0.1,0,0.275,160646,69796,13.61,5.025,14.9,-22.215,36.3,13.6,8.5,8.6,118.05,0.57,817,100,0,0
9.7.2024,09:51.8,53.8,5087,2827,64.2,0.809,0.825,0.797,0.81,0.805,0.753,0.731,2767.2,2838.2,2743.6,2743.6,2743.6,94.6,2459.8,930.7,693.9,720.8,1593.5,858.6,834.7,914.5,741.6,1088,930.7,30.3,23.8,23.3,52.5,26.7,28,28.9,24.6,34.9,52.5,30.3,100,67.1,50.6,52.1,114.2,61.7,60.4,66.1,53.6,78.3,67.1,29.2,30,29,29,29,26,76,70,83,70,83,24,30,17,30,17,84,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,82,82,71,0.715,8.203,15.536,11.121,0.028,20.446,2.118,0.652,0.935,51,15,51,51,500,0.7,0,0,0,0,0,461,2,0,30.5,23.9,24,52.5,27.3,27.5,29.6,24.7,34.9,37.4,48.2,22,41.7,37.9,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,51,93,100,No,No,31116,72449,0,1,1,0,0.469,160646,69797,13.606,4.995,14.8,-22.23,36.3,13.5,8.2,7.9,121.94,0.55,817,100,0.029,0
9.7.2024,09:53.8,53.9,5098,2816,64.4,0.865,0.877,0.86,0.862,0.86,0.808,0.733,3145.7,3216.6,3122,3122,3122,94.6,2838.2,918.7,960.8,89,339.3,839.4,1268.9,1298.5,937.1,1616.4,918.7,29.6,32.1,3.6,11,28.1,40.9,41.4,28.7,50.9,50.9,29.6,100,66.1,69.6,7,25,60.6,91,93,67.3,115.8,66.1,33.2,34,33,33,33,30,79,75,74,83,83,21,25,26,17,17,84,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,82,82,71,0.715,8.789,14.974,10.658,0.031,20.386,2.071,0.628,0.897,51,15,51,51,500,0.9,0,0,0,0,0,461,2,0,29.5,32.2,3,11.1,27.6,41,41,29.3,50.9,39.1,59.1,58.3,14.5,24.4,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,51,93,100,No,No,31116,72449,0,0,0,0,0.211,160646,69797,13.593,4.965,14.7,-22.29,36.3,13.3,7.4,7.1,135.18,0.63,817,100,0,0
