Date,Time,Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Uncore VID [V],SA VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [?],Core 0 [?],Core 1 [?],Core 2 [?],Core 3 [?],Core Distance to TjMAX (avg) [?],Core 0 Distance to TjMAX [?],Core 1 Distance to TjMAX [?],Core 2 Distance to TjMAX [?],Core 3 Distance to TjMAX [?],CPU Package [?],Core Max [?],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [?],CPU IA Cores [?],CPU GT Cores (Graphics) [?],iGPU VID [V],VR VCC Current (SVID IOUT) [A],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total System Power [W],System Agent Power [W],Rest-of-Chip Power [W],PCH Power [W],PL1 Power Limit (Static) [W],PL1 Power Limit (Dynamic) [W],PL2 Power Limit (Static) [W],PL2 Power Limit (Dynamic) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Current cTDP Level [],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",Drive Temperature [?],Drive Remaining Life [%],Drive Available Spare [%],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Charge Rate [W],Wear Level [%],Estimated Remaining Time [mins],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s]
9.7.2024,08:13.8,53.9,5021,2893,63.4,0.805,0.81,0.8,0.805,0.805,0.746,0.733,2743.6,2743.6,2743.6,2743.6,2743.6,94.6,2175.9,1023,908,453.6,790.9,1703,1462.4,520.2,1085.3,1261.1,1023,34.6,30,15.1,26.4,57.6,48.7,18.8,36.3,43.7,57.6,34.6,100,74.1,66.7,33.4,57.4,122.5,105.6,38.2,78.3,90.7,74.1,29,29,29,29,29,23,81,79,81,81,82,19,21,19,19,18,82,82,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,82,82,70,0.715,9.375,14.37,9.873,0.08,20.223,2.135,0.701,1.009,51,15,51,51,500,2,0,0,0,0,0,446,2,0,34.5,30.4,14.9,26.3,57.5,48.7,17.9,36.7,43.5,33.5,54.6,25.1,33.9,20.5,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,0.2,0.2,0.016,0.342,160632,69761,13.743,6.78,20.1,-26.16,36.3,15.6,13,12.7,77,0.98,817,100,0.101,0.068
9.7.2024,08:15.8,53.9,5025,2889,63.4,0.847,0.85,0.842,0.85,0.845,0.771,0.733,3027.4,3027.4,3027.4,3027.4,3027.4,94.6,2838.2,1038.9,971.6,667,1172.5,1522.8,842.9,887.5,585.8,1661.2,1038.9,34.6,33.4,22.1,38.6,49.6,28.2,30.5,20.5,54.1,54.1,34.6,100,75.2,71.1,48.5,84.6,109.5,61.3,64.3,42.8,119.3,75.2,32,32,32,32,32,30,78,72,82,72,84,22,28,18,28,16,85,84,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,83,83,71,0.715,8.203,15.071,10.458,0.059,20.848,2.155,0.734,1.064,51,15,51,51,500,1.8,0,0,0,0,0,447,2,0,34.3,32.8,22,38.5,49.1,28.2,30.5,19.7,54,33.9,47,18.4,44.3,25.8,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,93,100,No,No,31116,72449,0.1,5.1,5.2,0.044,1.103,160632,69763,13.636,6.75,20,-21.6,36.3,18.8,18.4,18.6,54.23,0.93,817,100,0.087,0.034
9.7.2024,08:17.8,54.1,5030,2883,63.5,0.861,0.862,0.86,0.862,0.86,0.788,0.731,3122,3122,3122,3122,3122,94.6,2175.9,936,901.4,1069.6,669.2,2524.9,824.1,287.9,838,372.8,936,30.1,29.9,32.8,20.8,82.8,27,7.8,27.8,11.8,82.8,30.1,100,67.5,65.5,76.9,48.1,180.5,59.7,21.2,60.7,27.4,67.5,33,33,33,33,33,23,78,79,75,74,83,22,21,25,26,17,83,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,80,80,70,0.715,8.789,14.725,10.143,0.018,20.358,2.123,0.646,1.106,51,15,51,51,500,0.8,0,0,0,0,0,447,2,0,30.6,30.3,33.2,21.2,82.9,27.5,9,28.3,12.2,38.5,34.9,3.1,59.7,56.5,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,93,100,No,No,31116,72449,0,0.1,0.1,0.002,0.487,160632,69764,13.623,6.69,19.8,-25.545,36.3,15.7,21.3,21.5,46.96,0.68,817,100,0.03,0.021
9.7.2024,08:19.8,53.8,5017,2897,63.3,0.847,0.852,0.842,0.847,0.847,0.771,0.733,3027.4,3027.4,3027.4,3027.4,3027.4,94.6,2270.6,933.8,720.5,614.6,1518.5,1029.3,1458.8,629.4,1228.5,270.5,933.8,29.4,22.6,19.3,48.4,31.8,46.3,20,38.6,8.5,48.4,29.4,100,67.3,52.6,44.4,108.9,73.8,104.8,45.4,88.5,19.9,67.3,32,32,32,32,32,24,78,75,82,83,74,22,25,18,17,26,84,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,83,83,71,0.715,8.789,15.317,10.978,0.022,20.519,2.086,0.615,0.938,51,15,51,51,500,0.5,0,0,0,0,0,447,2,0,29.7,22.8,19.5,48.5,32.5,46.5,20.2,38.7,8.7,39.3,56.2,16.9,32.9,51.3,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,93,100,No,No,31116,72449,0,1.2,1.2,0,0.223,160632,69764,13.613,6.66,19.7,-22.41,36.3,17.8,14.7,14.9,68,0.69,817,100,0,0
9.7.2024,08:21.8,53.8,5011,2903,63.3,0.847,0.85,0.845,0.847,0.847,0.771,0.733,3027.4,3027.4,3027.4,3027.4,3027.4,94.6,2838.2,925.9,1019.7,810.8,671.6,1891,1296.3,435.4,783.5,499.3,925.9,29.8,33,25.9,21.7,60.9,41.8,14.2,24.8,16.2,60.9,29.8,100,66.7,73.8,58.3,48.4,135.4,93.3,31.4,56.5,36.1,66.7,32,32,32,32,32,30,78,75,74,81,81,22,25,26,19,19,81,81,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,82,82,70,0.715,8.203,13.988,9.687,0.021,20.174,2.086,0.615,0.894,51,15,51,51,500,0.6,0,0,0,0,0,447,2,0,29.5,32.6,26,21.2,60.3,41.4,13.7,25,15.8,41.5,40.2,20,45.4,60.3,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51,93,100,No,No,31116,72449,0,0.1,0.1,0.012,0.274,160632,69765,13.609,6.63,19.6,-21.75,36.3,18.3,12.4,11.4,80.47,0.65,817,100,0.029,0
9.7.2024,08:23.9,53.8,5015,2899,63.3,0.848,0.85,0.845,0.85,0.847,0.771,0.731,3027.4,3027.4,3027.4,3027.4,3027.4,94.6,2838.2,941.4,956,441.1,800.9,1543.7,873.5,490.4,913.4,1512.4,941.4,29.9,29.7,14.5,24.8,48.3,27.7,16.2,29.4,48.5,48.5,29.9,100,67.9,69.5,32.1,57.7,110.5,63.1,35.8,65.9,108.7,67.9,32,32,32,32,32,30,78,79,82,74,75,22,21,18,26,25,82,82,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,83,83,70,0.715,8.203,14.788,10.275,0.016,20.403,2.087,0.622,1.061,51,15,51,51,500,0.6,0,0,0,0,0,447,2,0,29.9,30.3,13.9,25.5,48.8,27.8,15.6,28.8,48.4,41.5,54.2,26,53.4,32.6,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51,93,100,No,No,31116,72449,0,0.1,0.1,0,0.374,160632,69766,13.569,6.585,19.5,-21.06,36.3,18.8,9.8,9.9,102.27,0.63,817,100,0,0
9.7.2024,08:25.8,54,5117,2797,64.6,0.807,0.81,0.802,0.807,0.807,0.748,0.733,2743.6,2743.6,2743.6,2743.6,2743.6,94.6,2554.4,1266.9,1191.9,1329.7,1205.4,1564.7,1329.4,1070.4,1355.1,1088.9,1266.9,51.3,48.6,53.3,49.4,62.4,52.8,44.4,54,45,62.4,51.3,100,91.9,87.1,96.3,87.4,112.8,96.4,77.7,98.2,79.1,91.9,29,29,29,29,29,27,75,73,72,77,77,25,27,28,23,23,77,77,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,78,78,70,0.715,9.375,14.211,8.941,0.041,20.191,2.2,0.817,1.63,51,15,51,51,500,1.6,0,0,0,0,0,474,2,0,51.1,48.1,53.2,48.9,62,52.9,44.3,54.4,44.8,22.1,21.3,18.6,22,26.3,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,93,100,No,No,31116,72449,3.9,0.3,4.2,6.245,0.367,160644,69766,13.683,6.555,19.4,-21.45,36.3,18.3,10.2,10.4,97.76,0.68,817,100,0.088,0
9.7.2024,08:27.8,54,5117,2796,64.6,0.764,0.767,0.757,0.765,0.767,0.723,0.733,2459.8,2459.8,2459.8,2459.8,2459.8,94.6,2270.6,932.4,900.7,275.5,1341.9,1644.3,640.7,511.2,1133.5,1011.7,932.4,30.5,29.8,9,42.5,54.2,21.3,17.1,36.9,33.4,54.2,30.5,100,67.4,65.9,20.5,96.2,117.7,47,37.2,81.7,73,67.4,26,26,26,26,26,24,77,76,82,74,77,23,24,18,26,23,82,82,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,80,80,70,0.715,8.203,14.971,10.464,0.024,20.105,2.11,0.66,1.042,51,15,51,51,500,0.9,0,0,0,0,0,474,2,0,30.6,30.1,9.1,43.1,54.3,21.4,17.3,36.5,33.5,40.3,58.5,12.2,59.4,30.9,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,2.7,2.7,0.032,0.37,160644,69767,13.629,6.525,19.3,-21.525,36.3,18.2,10.6,10.7,94.29,0.63,817,100,0.029,0
