Date,Time,Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Uncore VID [V],SA VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [?],Core 0 [?],Core 1 [?],Core 2 [?],Core 3 [?],Core Distance to TjMAX (avg) [?],Core 0 Distance to TjMAX [?],Core 1 Distance to TjMAX [?],Core 2 Distance to TjMAX [?],Core 3 Distance to TjMAX [?],CPU Package [?],Core Max [?],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [?],CPU IA Cores [?],CPU GT Cores (Graphics) [?],iGPU VID [V],VR VCC Current (SVID IOUT) [A],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total System Power [W],System Agent Power [W],Rest-of-Chip Power [W],PCH Power [W],PL1 Power Limit (Static) [W],PL1 Power Limit (Dynamic) [W],PL2 Power Limit (Static) [W],PL2 Power Limit (Dynamic) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Current cTDP Level [],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",Drive Temperature [?],Drive Remaining Life [%],Drive Available Spare [%],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Wear Level [%],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Charge Rate [W],Estimated Remaining Time [mins]
9.7.2024,45:51.0,50.5,5144,2770,64.9,0.955,0.957,0.952,0.957,0.952,0.868,0.743,3481.7,3481.7,3481.7,3481.7,3481.7,91.6,3206.9,233.8,339.7,258.9,223.1,115.3,380.1,112.1,199.5,241.7,233.8,5.9,8.4,6.7,5.9,3.1,8.9,3,5.2,6.3,8.9,5.9,100,17.6,26.1,19.4,17.2,8.7,28.7,8.4,15,17.7,17.6,38,38,38,38,38,35,74,72,77,74,71,26,28,23,26,29,77,77,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,79,79,59,0.722,16.407,8.022,3.348,0.248,12.015,1.745,0.521,0.941,51,15,51,51,450,1.3,0,0,0,0,0,457,2,62.6,6.2,9.1,6.7,5.9,3.1,9.9,2.9,5.3,6.2,83.3,79.5,87.3,81.1,85.3,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,43,93,100,No,No,31108,72429,0.1,0.2,0.2,0.022,0.516,141380,62688,14.279,10.245,30.3,36.3,12,12.2,83.08,1.11,619,56,0,0,-10.245,60
9.7.2024,45:53.0,50.5,5155,2759,65.1,0.924,0.96,1.03,0.867,0.84,0.868,0.743,3298.5,3481.7,3848.2,3023.6,2840.4,91.6,3206.9,380.9,482.1,261.1,523.3,191.4,392.6,260.6,366.6,569.5,380.9,10.2,13.4,6.9,13.7,5.1,11.2,7,9.6,14.7,14.7,10.2,100,28.6,36.6,19.9,39.3,14.4,29.6,19.5,28,41.5,28.6,36,38,42,33,31,35,58,57,58,58,58,42,43,42,42,42,58,58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,65,65,58,0.722,6.152,9.972,5.265,0.333,14.827,1.811,0.619,0.949,51,15,51,51,450,4.3,0,0,0,0,0,453,2,44.9,10.1,12.9,6.9,13.7,5.1,10.5,6.9,9.8,14.7,71.9,71.2,73.2,75.9,67.2,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,42,93,100,No,No,31108,72429,0,0.1,0.1,0.049,0.115,141380,62688,14.179,10.245,30.3,36.3,16.4,16.6,60.85,1.14,619,56,0.029,0,-15.435,39.8
9.7.2024,45:55.0,50.4,5152,2762,65,1.013,0.96,1.03,1.032,1.03,0.886,0.746,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,196.1,383.1,144.3,239.7,36.8,245.8,100.8,190.5,227.9,196.1,5,9.9,3.9,6.3,1.3,6.5,1.3,5.3,5.3,9.9,5,100,14.9,29.5,11.2,18.3,3,18.5,7.6,14.1,16.6,14.9,41,38,42,42,42,36,56,56,57,58,54,44,44,43,42,46,58,58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,64,64,57,0.73,7.031,7.363,2.76,0.224,11.757,1.713,0.49,0.922,51,15,51,51,500,1.2,0,0,0,0,0,452,2,61.2,5.1,10.2,3.7,6.2,1,6.3,2.6,5.1,5.8,84.4,77.9,87.8,86.3,85.9,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,42,93,100,No,No,31108,72429,0,0.2,0.2,0,1.081,141380,62690,14.204,10.23,30.3,36.3,21.2,21.5,47.1,0.93,619,56,0,0,-12.99,47.2
9.7.2024,45:57.0,50.4,5152,2762,65,1.013,0.96,1.03,1.032,1.03,0.886,0.746,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,178,326.7,85.4,287.7,52.1,302.3,48.4,182.4,138.8,178,4.3,8.2,1.1,6.9,1.1,7.3,1.8,3.7,4.1,8.2,4.3,100,13.5,24.9,6.7,22,4,22.5,3.8,13.5,10.2,13.5,41,38,42,42,42,36,56,57,57,57,54,44,43,43,43,46,57,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,64,64,56,0.73,5.566,7.193,2.524,0.204,11.32,1.689,0.461,1.002,51,15,51,51,500,0.4,0,0,0,0,0,452,2,65,4.6,8.7,2.2,7.4,1.4,7.7,1.3,4.8,3.6,85.6,82.4,85.2,86.7,88.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31108,72429,0,0.4,0.4,0,0.52,141380,62691,14.296,10.23,30.3,36.3,18,18.2,55.51,0.79,619,56,0.024,0.03,-9.27,66.2
9.7.2024,45:59.0,50.4,5150,2763,65,1.012,0.96,1.03,1.032,1.027,0.886,0.746,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,142.9,318.6,59.6,267.1,100.4,159.1,35,171.9,31.5,142.9,3.7,8,2.1,6.4,2.3,3.9,1.5,4.9,0.7,8,3.7,100,10.9,24.3,5.1,20,7.5,12.2,2.8,12.7,2.3,10.9,41,38,42,42,42,36,55,55,55,57,52,45,45,45,43,48,57,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,63,63,56,0.73,5.859,6.561,2.157,0.196,10.448,1.644,0.421,0.862,51,15,51,51,500,0.4,0,0,0,0,0,452,2,68.7,3.7,8.5,1.6,6.7,2.5,4.2,0.9,4.4,0.8,88.2,83.7,86.4,90.7,92.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,42,93,100,No,No,31108,72429,0,0.1,0.1,0,0.423,141380,62692,14.28,10.215,30.2,36.3,13.8,12.3,72.72,0.76,619,56,0.089,0,-9.825,62.4
9.7.2024,46:01.0,50.4,5147,2767,65,1.032,1.035,1.03,1.032,1.03,0.886,0.746,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,154,304.3,65.5,219,57.1,329.2,41.6,173.3,42.2,154,3.7,7.7,0.8,5.3,1.4,7.9,0.9,4.3,1,7.9,3.7,100,11.7,22.9,5.4,16.5,4.7,24.8,3.3,12.8,3.1,11.7,42,42,42,42,42,36,55,55,56,55,53,45,45,44,45,47,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,65,65,56,0.73,5.566,6.391,1.982,0.193,10.573,1.638,0.431,0.875,51,15,51,51,500,0.6,0,0,0,0,0,452,2,66.9,4,8,1.8,5.6,1.6,8.3,1.1,4.5,1.1,87.4,84.5,88,85.3,91.7,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,42,93,100,No,No,31108,72429,0,0.1,0.1,0,0.327,141380,62692,14.311,10.215,30.2,36.3,10.4,9.6,96.01,0.74,619,56,0,0.026,-9.855,62.2
9.7.2024,46:03.0,50.4,5147,2767,65,0.925,0.96,0.852,0.857,1.03,0.888,0.746,3298.5,3481.7,2932,2932,3848.2,91.6,3298.5,150.7,359.6,46.7,239.6,53.3,276,42.7,160.7,27,150.7,4.4,9.8,1.8,6.5,1.9,7.4,1.7,4.6,1.3,9.8,4.4,100,11.4,27.1,3.7,17.9,4.4,20.5,3.4,12.2,2.1,11.4,36,38,32,32,42,36,54,54,54,55,53,46,46,46,45,47,57,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,64,64,55,0.732,5.274,6.835,2.318,0.212,10.646,1.638,0.431,0.957,51,15,51,51,500,0.5,0,0,0,0,0,452,2,66.9,3.9,9.5,1.2,6,1.4,7,1.1,4.3,0.7,87.4,83.6,88.1,87.3,90.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,43,93,100,No,No,31108,72429,0,0.2,0.2,0,0.323,141380,62693,14.277,10.215,30.2,36.3,8.8,8.9,113.6,0.72,619,56,0.029,0,-9.78,62.7
9.7.2024,46:05.0,50.4,5147,2767,65,1.031,1.035,1.03,1.032,1.027,0.888,0.746,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,142.4,357.8,45.8,264.2,35.8,204.2,67.1,133.5,30.7,142.4,3.5,9,1.8,6.4,0.8,4.9,1.5,3.2,0.6,9,3.5,100,10.8,26.7,3.7,19.6,3.1,15.5,5.6,10.2,2.3,10.9,42,42,42,42,42,36,54,54,54,55,51,46,46,46,45,49,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,62,55,0.732,7.324,6.335,2.033,0.191,10.243,1.621,0.424,0.843,51,15,51,51,500,0.4,0,0,0,0,0,452,2,68.3,3.7,9.3,1.2,6.6,1,5.2,1.9,3.5,0.8,88,84.2,88.2,87.9,91.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,42,93,100,No,No,31108,72429,0,0.1,0.1,0,0.279,141380,62694,14.347,10.2,30.2,36.3,7.3,7.4,136.84,0.7,619,56,0.059,0.034,-9.705,63
9.7.2024,46:07.0,50.4,5147,2767,65,1.031,1.035,1.03,1.032,1.027,0.888,0.746,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,141.9,338.5,60.1,254.8,35.1,260.9,29.4,132.4,23.8,141.9,3.3,8.4,1.3,6.1,0.7,6.4,0,3.1,0.4,8.4,3.3,100,10.7,25.4,5.1,19,3,19.4,2.4,9.9,1.8,10.7,42,42,42,42,42,36,54,53,54,55,52,46,47,46,45,48,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,62,55,0.732,6.445,6.533,2.122,0.195,10.349,1.617,0.423,0.917,51,15,51,51,500,0.3,0,0,0,0,0,452,2,67.7,3.7,8.8,1.6,6.4,1,6.7,0.8,3.5,0.6,88.3,83.5,88.2,88.4,93,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31108,72429,0,0.1,0.1,0,0.363,141380,62694,14.314,10.2,30.2,36.3,6.8,6.5,146.47,0.68,619,56,0,0,-9.495,64.5
9.7.2024,46:09.0,50.4,5146,2768,65,0.992,0.96,1.03,0.957,1.02,0.888,0.748,3665,3481.7,3848.2,3481.7,3848.2,91.6,3298.5,139.8,320.5,58.8,237.1,42.8,231.5,32.8,164.2,30.7,139.8,3.4,8,1.3,5.7,0.9,5.6,1.5,3.9,0.5,8,3.4,100,10.6,24.1,5,17.8,3.6,17.5,2.6,12.1,2.1,10.6,40,38,42,38,42,36,53,53,53,54,51,47,47,47,46,49,54,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,55,0.732,6.152,6.316,1.979,0.218,10.179,1.599,0.421,0.87,51,15,51,51,500,0.5,0,0,0,0,0,446,2,69.5,3.6,8.5,1.6,6,1.1,6,0.9,4.2,0.8,88.4,84.1,88.3,88.7,92.3,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,42,93,100,No,No,31108,72429,0,0.1,0.1,0.016,0.211,141380,62695,14.331,10.185,30.2,36.3,5.9,6,168.86,0.67,619,56,0.089,0,-9.915,61.6
9.7.2024,46:11.0,50.4,5145,2769,65,0.939,0.96,0.955,1.025,0.817,0.888,0.748,3367.2,3481.7,3481.7,3848.2,2657.1,91.6,3298.5,147.2,284.9,53.8,281.6,49.8,281.1,55.9,143.7,26.6,147.2,3.4,7.1,0.4,6.7,1,6.7,1.2,3.4,0.5,7.1,3.4,100,11.2,21.5,4.5,21.3,4,20.7,4.3,10.6,2.2,11.2,36.8,38,38,42,29,36,53,52,53,55,52,47,48,47,45,48,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,54,0.732,6.445,6.667,2.149,0.2,10.504,1.601,0.426,0.971,51,15,51,51,500,0.3,0,0,0,0,0,445,2,67.4,3.8,7.5,1.4,7.1,1.3,7.1,1.4,3.8,0.7,87.9,85.4,86.1,87.4,92.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,42,93,100,No,No,31108,72429,0,0.3,0.3,0,0.456,141380,62696,14.3,10.185,30.2,36.3,5.8,5.8,171.86,0.66,619,56,0,0,-9.435,64.8
9.7.2024,46:13.0,50.4,5145,2769,65,0.992,0.96,1.03,0.957,1.02,0.888,0.748,3665,3481.7,3848.2,3481.7,3848.2,91.6,3298.5,142.5,307.1,49.4,203.1,41.2,304.6,26.8,135,72.6,142.5,4.3,8.4,2.6,5.6,1.7,8.2,1.3,4,2.3,8.4,4.3,100,10.8,23.3,4.1,15.4,3.5,22.8,2.2,10.3,5.1,10.8,40,38,42,38,42,36,53,53,54,54,51,47,47,46,46,49,55,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,62,54,0.735,8.203,6.361,2.041,0.182,10.235,1.603,0.444,0.829,51,15,51,51,500,0.6,0,0,0,0,0,445,2,68.2,3.7,8.1,1.3,5.2,1.1,7.7,0.8,3.6,1.8,88,84.9,88.9,87.1,90.9,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,42,93,100,No,No,31108,72429,0,0.2,0.2,0,0.33,141380,62696,14.301,10.185,30.2,36.3,5.3,5.1,187.81,0.66,619,56,0.029,0,-10.44,58.5
9.7.2024,46:15.0,50.4,5145,2769,65,0.96,0.96,1.027,1.032,0.82,0.871,0.748,3458.8,3481.7,3848.2,3848.2,2657.1,91.6,3206.9,138.9,320.8,52.5,235.2,44.7,227.5,42.2,163.5,24.8,138.9,3.3,8.1,1.2,5.6,1,5.4,0.9,3.9,0.6,8.1,3.3,100,10.6,24.3,4.1,17.4,3.7,17.4,3.3,12.1,2.1,10.6,37.8,38,42,42,29,35,51,51,52,53,49,49,49,48,47,51,54,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60,60,53,0.727,6.445,6.182,1.975,0.198,10.08,1.59,0.422,0.808,51,15,51,51,450,0.5,0,0,0,0,0,445,2,69.4,3.6,8.5,1.4,5.9,1.2,5.9,1.1,4.2,0.7,88.4,84.7,88.9,87.8,92.4,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31108,72429,0,0.1,0.1,0,0.291,141380,62697,14.329,10.17,30.1,36.3,4.9,5,205.1,0.7,619,56,0,0,-11.52,53
