Date,Time,Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Uncore VID [V],SA VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [?],Core 0 [?],Core 1 [?],Core 2 [?],Core 3 [?],Core Distance to TjMAX (avg) [?],Core 0 Distance to TjMAX [?],Core 1 Distance to TjMAX [?],Core 2 Distance to TjMAX [?],Core 3 Distance to TjMAX [?],CPU Package [?],Core Max [?],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [?],CPU IA Cores [?],CPU GT Cores (Graphics) [?],iGPU VID [V],VR VCC Current (SVID IOUT) [A],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total System Power [W],System Agent Power [W],Rest-of-Chip Power [W],PCH Power [W],PL1 Power Limit (Static) [W],PL1 Power Limit (Dynamic) [W],PL2 Power Limit (Static) [W],PL2 Power Limit (Dynamic) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Current cTDP Level [],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",Drive Temperature [?],Drive Remaining Life [%],Drive Available Spare [%],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Wear Level [%],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Charge Rate [W],Estimated Remaining Time [mins]
9.7.2024,49:49.8,50.1,5126,2788,64.7,1.013,0.96,1.03,1.032,1.03,0.888,0.746,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,362.6,623.5,153.5,584.7,147.9,452.2,276.1,318.8,344.2,362.6,9.1,15.8,3.8,14.6,3.7,11.3,6.8,7.9,8.6,15.8,9.1,100,27.1,47.1,12.4,43.5,11.3,33.6,20.4,23.7,25.3,27.1,41,38,42,42,42,36,58,60,58,59,57,42,40,42,41,43,60,60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,65,65,56,0.732,5.859,9.827,5,0.328,14.064,1.709,0.591,0.936,51,15,51,51,500,3,0,0,0,0,0,439,2,50,9.3,16.2,4.1,14.9,3.9,11.6,7,8.2,8.8,74.8,69.9,75.7,75.4,78.3,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31105,72428,0,0.2,0.2,0.006,0.604,140417,60225,15.242,28.845,85.4,36.3,6.8,6.7,146.51,0.85,614,55,0.029,0.021,-17.16,100.8
9.7.2024,49:51.8,50,5124,2790,64.7,0.994,0.96,0.955,1.032,1.027,0.888,0.746,3665,3481.7,3481.7,3848.2,3848.2,91.6,3298.5,232.6,511.9,84,327.3,66.4,331.1,100.9,262,177.1,232.6,5.3,12.8,0,8,1.6,8.1,1.7,6.4,3.6,12.8,5.3,100,17.6,38.9,6.4,24.6,5.2,25.1,7.8,19.5,13,17.6,40,38,38,42,42,36,55,56,56,56,53,45,44,44,44,47,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,63,63,55,0.73,6.152,8.079,3.3,0.286,12.005,1.681,0.511,0.886,51,15,51,51,500,1.5,0,0,0,0,0,440,2,57.1,6,13.2,2.2,8.3,1.7,8.5,2.6,6.7,4.5,81.5,76.4,83.7,81.1,84.9,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31105,72428,0,0.1,0.2,0.008,0.902,140417,60227,15.4,28.83,85.3,36.3,15.3,15.5,65.45,0.83,614,55,2.8,0,-12.615,137.1
9.7.2024,49:53.8,50,5124,2789,64.7,0.975,0.96,0.955,0.957,1.027,0.871,0.746,3573.4,3481.7,3481.7,3481.7,3848.2,91.6,3206.9,163.7,378.5,40.9,237.5,78.4,320.1,55.3,119.9,79.5,163.7,4.4,9.5,3.2,5.7,1.7,7.7,2.1,2.8,2.6,9.5,4.4,100,12.5,28.8,3.1,18.2,6.9,23.6,4.2,9,5.8,12.5,39,38,38,38,42,35,55,56,56,55,52,45,44,44,45,48,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,63,63,54,0.727,6.445,6.651,2.071,0.256,10.642,1.637,0.441,0.94,51,15,51,51,450,0.8,0,0,0,0,0,439,2,65.5,4.2,9.7,1.1,5.9,2.2,7.9,1.4,3.1,2,86.7,83.4,85,86.3,92.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,93,100,No,No,31105,72428,0,0.3,0.3,0.049,0.374,140417,60228,15.462,28.83,85.3,36.3,17.7,17.9,56.52,0.62,614,55,2.771,0,-9.945,173.9
9.7.2024,49:55.8,50,5124,2790,64.7,1.032,1.035,1.03,1.032,1.03,0.888,0.746,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,190.7,384.6,65.4,323.6,64.1,280.5,110.9,148.3,148.6,190.7,4.4,9.4,1.4,7.7,1.4,6.7,1.7,3.4,3.4,9.4,4.4,100,14.5,29.3,5,24.3,4.9,20.9,8.8,11.2,11.2,14.5,42,42,42,42,42,36,54,54,55,55,53,46,46,45,45,47,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,55,0.732,5.274,7.344,2.548,0.185,11.399,1.651,0.459,1.176,51,15,51,51,500,0.4,0,0,0,0,0,439,2,63.9,4.9,9.9,1.7,8.2,1.6,7,2.9,3.8,3.8,85,82.1,85.3,84.5,88.2,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31105,72428,0.1,0.4,0.6,0.065,0.786,140417,60229,15.43,28.815,85.3,36.3,14.4,14.5,69.58,0.6,614,55,0,0,-11.49,150.5
9.7.2024,49:57.8,50,5123,2791,64.7,0.976,0.96,1.03,0.957,0.955,0.871,0.746,3573.4,3481.7,3848.2,3481.7,3481.7,91.6,3206.9,145,350.2,24.6,263,36.1,239,62,143.5,41.5,145,4,9.3,1.2,6.9,1.4,6.3,2.1,4,0.8,9.3,4,100,11,26.7,1.9,19.8,2.8,17.8,4.7,10.8,3.4,11,39,38,42,38,38,35,54,54,54,56,51,46,46,46,44,49,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,64,64,55,0.727,5.566,6.446,2.074,0.209,10.11,1.618,0.424,0.902,51,15,51,51,450,0.4,0,0,0,0,0,439,2,68.8,3.7,9,0.7,6.6,0.9,6,1.6,3.7,1.1,88,84.7,88.2,87.9,91.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31105,72428,0,0.1,0.1,0,0.306,140417,60230,15.42,28.815,85.3,36.3,10.9,10.8,91.46,0.59,614,55,0.029,0,-8.085,162.8
9.7.2024,49:59.8,50,5123,2791,64.7,1.031,1.035,1.03,1.032,1.027,0.888,0.746,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,142.5,431.8,18.3,180.1,48.8,230.7,99.2,107,24.1,142.5,3,10.6,0,4.2,0.2,5.5,2.2,1.6,0,10.6,3,100,10.8,32.7,1.4,13.9,3.7,17.2,7.6,8,1.8,10.8,42,42,42,42,42,36,54,54,55,55,52,46,46,45,45,48,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,55,0.727,7.324,6.396,2.005,0.2,10.066,1.618,0.422,0.881,51,15,51,51,450,0.3,0,0,0,0,0,439,2,68.3,3.6,11.1,0.5,4.5,1.2,5.7,2.5,2.7,0.6,88.3,82.2,89.6,87.3,94.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31105,72428,0,0.1,0.1,0,0.355,140417,60231,15.468,28.815,85.3,36.3,8.7,8.9,114.3,0.58,614,55,0,0,-8.385,206.2
9.7.2024,50:01.8,50,5123,2791,64.7,1.031,1.035,1.03,1.032,1.027,0.888,0.746,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,152.5,375.2,44.3,207.3,46.4,204.7,98.6,194.4,49,152.5,4.3,9.3,2.5,4.9,1.8,4.9,3.1,5.3,2.6,9.3,4.3,100,11.5,28.5,3.4,16,3.5,15.4,7.3,14.4,3.6,11.5,42,42,42,42,42,36,54,54,54,55,51,46,46,46,45,49,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,62,55,0.732,5.566,6.493,2.186,0.172,10.184,1.622,0.427,0.887,51,15,51,51,500,0.4,0,0,0,0,0,439,2,68.1,3.9,9.6,1.2,5.3,1.2,5.2,2.4,4.9,1.2,87.7,83.7,88.3,88,90.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31105,72428,0,0.1,0.1,0,0.218,140417,60231,15.163,28.8,85.3,36.3,7.4,7.5,135.26,0.58,614,55,0.117,0.057,-9.465,182.6
9.7.2024,50:03.8,50,5124,2790,64.7,0.975,0.96,0.955,0.957,1.027,0.871,0.748,3573.4,3481.7,3481.7,3481.7,3848.2,91.6,3206.9,146.2,353.2,41.1,238.8,49.5,258.7,45.5,122.3,60.3,146.2,3.4,8.6,0.8,5.6,1,6.1,0.9,2.7,1.3,8.6,3.4,100,11.1,27.1,3.1,17.9,4,19.1,3.5,9.4,4.4,11.1,39,38,38,38,42,35,54,55,54,55,52,46,45,46,45,48,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,55,0.725,6.152,6.676,2.25,0.205,10.091,1.626,0.424,0.873,51,15,51,51,450,0.4,0,0,0,0,0,439,2,68.5,3.7,9.1,1.1,6,1.3,6.4,1.2,3.2,1.5,88,83.8,88.2,88.4,91.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31105,72428,0,0.1,0.1,0,0.373,140417,60232,15.361,28.8,85.3,36.3,6.8,6.8,147.52,0.58,614,55,0,0,-8.535,202.4
9.7.2024,50:05.8,50,5125,2789,64.7,0.994,0.96,0.955,1.032,1.027,0.871,0.746,3665,3481.7,3481.7,3848.2,3848.2,91.6,3206.9,141.2,363.3,15,170.9,62.5,291.5,90.6,110.2,25.6,141.2,4,9.6,1,4.7,2.1,7.6,2.8,3.3,1.2,9.6,4,100,10.7,27.8,1.2,13.1,4.7,21.4,6.7,8.5,1.9,10.7,40,38,38,42,42,35,54,54,54,55,51,46,46,46,45,49,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,63,63,55,0.732,6.738,6.451,1.986,0.185,10.042,1.619,0.42,0.902,51,15,51,51,500,0.3,0,0,0,0,0,439,2,69.2,3.6,9.4,0.4,4.3,1.6,7.2,2.3,2.9,0.7,88.2,83.8,89.8,86.7,92.7,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31105,72428,0,0.2,0.2,0,0.383,140417,60232,15.441,28.8,85.3,36.3,6.2,6.3,162.34,0.57,614,55,0,0,-11.34,152.4
9.7.2024,50:07.9,50,5125,2789,64.7,1.012,0.96,1.03,1.032,1.027,0.871,0.748,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3206.9,140.7,405.5,17.1,213.1,41.6,243,68.1,110.1,26.8,140.7,3.3,9.9,0.3,5,0.8,5.8,1.5,2.5,0.5,9.9,3.3,100,10.7,30.9,1.4,16.4,3.2,18,5.2,8.2,2,10.7,41,38,42,42,42,35,53,54,54,53,51,47,46,46,47,49,56,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,62,55,0.732,6.152,6.17,1.818,0.164,9.871,1.622,0.421,0.808,51,15,51,51,500,0.3,0,0,0,0,0,439,2,70,3.6,10.4,0.5,5.4,1.1,6,1.7,2.8,0.7,88.5,82.9,89,88.3,94,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31105,72428,0,0,0,0,0.209,140417,60233,15.44,28.785,85.2,36.3,5.7,5.8,175.81,0.56,614,55,0.054,0.026,-8.085,213.6
